Date,Day,Hour,Item,Category,Price_NZD,Quantity,Revenue_NZD
2024-01-01,Monday,8,Espresso,Coffee,4.0,1,4.0
2024-01-01,Monday,8,Banana Bread,Food,5.5,2,11.0
2024-01-01,Monday,12,Green Tea,Tea,4.0,1,4.0
2024-01-01,Monday,8,Croissant,Food,5.0,1,5.0
2024-01-01,Monday,12,Banana Bread,Food,5.5,2,11.0
2024-01-01,Monday,10,Muffin,Food,4.5,1,4.5
2024-01-01,Monday,15,Cappuccino,Coffee,5.5,1,5.5
2024-01-01,Monday,10,Long Black,Coffee,4.5,3,13.5
2024-01-01,Monday,10,Green Tea,Tea,4.0,1,4.0
2024-01-01,Monday,15,Espresso,Coffee,4.0,2,8.0
2024-01-01,Monday,13,Latte,Coffee,5.5,3,16.5
2024-01-01,Monday,10,Espresso,Coffee,4.0,2,8.0
2024-01-01,Monday,12,Chai Latte,Coffee,6.0,1,6.0
2024-01-01,Monday,13,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,9,Long Black,Coffee,4.5,2,9.0
2024-01-01,Monday,10,Banana Bread,Food,5.5,2,11.0
2024-01-01,Monday,8,Long Black,Coffee,4.5,1,4.5
2024-01-01,Monday,13,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,12,Toastie,Food,8.0,1,8.0
2024-01-01,Monday,11,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,9,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,7,Green Tea,Tea,4.0,1,4.0
2024-01-01,Monday,9,Toastie,Food,8.0,1,8.0
2024-01-01,Monday,13,Banana Bread,Food,5.5,1,5.5
2024-01-01,Monday,9,Toastie,Food,8.0,1,8.0
2024-01-01,Monday,9,Green Tea,Tea,4.0,2,8.0
2024-01-01,Monday,10,Cappuccino,Coffee,5.5,1,5.5
2024-01-01,Monday,8,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,8,Green Tea,Tea,4.0,1,4.0
2024-01-01,Monday,10,English Breakfast,Tea,4.0,1,4.0
2024-01-01,Monday,18,Flat White,Coffee,5.5,1,5.5
2024-01-01,Monday,8,Croissant,Food,5.0,2,10.0
2024-01-01,Monday,14,Latte,Coffee,5.5,1,5.5
2024-01-01,Monday,8,Toastie,Food,8.0,2,16.0
2024-01-01,Monday,9,Cappuccino,Coffee,5.5,1,5.5
2024-01-01,Monday,8,Espresso,Coffee,4.0,2,8.0
2024-01-01,Monday,11,Cappuccino,Coffee,5.5,1,5.5
